brand,model,fuel,gear,engine_size,year_model,avg_price_brl,age_years
Audi,A4 1.8 Tip./ Multitronic Turbo,Gasoline,manual,1.8,2016,104521.0,7
Audi,A4 1.8 Tip./ Multitronic Turbo,Gasoline,manual,1.8,2015,98652.0,8
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,Gasoline,manual,1.8,2016,111641.0,7
Audi,A4 1.8 Avant Turbo Tip./ Multitronic,Gasoline,manual,1.8,2015,100120.0,8
Audi,A8 4.2 Quattro Tiptronic,Gasoline,manual,4.2,2013,286458.0,10
Audi,A8 4.2 Quattro Tiptronic,Gasoline,manual,4.2,2012,222193.0,11
Audi,A8 4.2 Quattro Tiptronic,Gasoline,manual,4.2,2011,171545.0,12
Audi,A3 Sportback 2.0 16V TFSI Mec.,Gasoline,manual,2.0,2011,69581.0,12
Audi,A3 Sportback 2.0 16V TFSI S-tronic,Gasoline,manual,2.0,2013,80201.0,10
Audi,A3 Sportback 2.0 16V TFSI S-tronic,Gasoline,manual,2.0,2012,73230.0,11
Audi,A3 Sportback 2.0 16V TFSI S-tronic,Gasoline,manual,2.0,2011,70020.0,12
Audi,A4 2.0 16V TFSI 200/ 214cv Multitronic,Gasoline,manual,2.0,2011,64377.0,12
Audi,A4 2.0 Avant TFSI 200/214cv Multitron.,Gasoline,manual,2.0,2011,68718.0,12
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2018,275895.0,5
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2017,240906.0,6
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2016,233378.0,7
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2015,221982.0,8
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2014,165802.0,9
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2013,156435.0,10
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2012,141403.0,11
Audi,TT 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2011,133373.0,12
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2018,290116.0,5
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2017,256326.0,6
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2016,249844.0,7
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2014,174995.0,9
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2013,160325.0,10
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2012,156338.0,11
Audi,TT Roadster 2.0 16v TFSI S-Tronic,Gasoline,manual,2.0,2011,151452.0,12
Audi,A4 3.2 FSI 24V 269cv Quattro Tiptronic,Gasoline,manual,3.2,2012,93941.0,11
Audi,A4 3.2 FSI 24V 269cv Quattro Tiptronic,Gasoline,manual,3.2,2011,81776.0,12
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,Gasoline,manual,2.0,2014,76442.0,9
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,Gasoline,manual,2.0,2013,70545.0,10
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,Gasoline,manual,2.0,2012,68540.0,11
Audi,A4 2.0 16V TFSI 183/180cv Multitronic,Gasoline,manual,2.0,2011,63296.0,12
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,Gasoline,manual,2.0,2014,83232.0,9
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,Gasoline,manual,2.0,2013,74121.0,10
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,Gasoline,manual,2.0,2012,70766.0,11
Audi,A4 2.0 Avant TFSI 183/180cv Multitroni,Gasoline,manual,2.0,2011,68598.0,12
Audi,Q5 2.0 16V TFSI Quattro S Tronic,Gasoline,manual,2.0,2013,100351.0,10
Audi,Q5 2.0 16V TFSI Quattro S Tronic,Gasoline,manual,2.0,2012,86366.0,11
Audi,Q5 2.0 16V TFSI Quattro S Tronic,Gasoline,manual,2.0,2011,78710.0,12
Audi,A4 3.2 FSI Avant 24V Quattro S Tronic,Gasoline,manual,3.2,2012,100605.0,11
Audi,A4 3.2 FSI Avant 24V Quattro S Tronic,Gasoline,manual,3.2,2011,93973.0,12
Audi,A6 3.0 TB FSI V6 Quattro Tiptronic,Gasoline,manual,3.0,2012,126896.0,11
Audi,A6 3.0 TB FSI V6 Quattro Tiptronic,Gasoline,manual,3.0,2011,103745.0,12
Audi,Q5 3.2 FSI V6 Quattro S Tronic,Gasoline,manual,3.2,2012,92565.0,11
Audi,Q5 3.2 FSI V6 Quattro S Tronic,Gasoline,manual,3.2,2011,90083.0,12
Audi,A3 Sport 2.0 16V TFSI S- tronic,Gasoline,manual,2.0,2013,79849.0,10
Audi,A3 Sport 2.0 16V TFSI S- tronic,Gasoline,manual,2.0,2012,72930.0,11
Audi,A3 Sport 2.0 16V TFSI S- tronic,Gasoline,manual,2.0,2011,65980.0,12
Audi,A5 3.2 FSI V6 24V 269cv Quattro Tiptroni,Gasoline,manual,3.2,2011,98237.0,12
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2016,199205.0,7
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2015,183191.0,8
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2014,177467.0,9
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2013,114382.0,10
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2012,110808.0,11
Audi,S3 Sportback 2.0 TFSI Quattro S Tronic,Gasoline,manual,2.0,2011,102710.0,12
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2018,349300.0,5
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2017,333958.0,6
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2016,285722.0,7
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2014,196290.0,9
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2013,188890.0,10
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2012,179644.0,11
Audi,TTS 2.0 TFSI QUATTRO S Tronic,Gasoline,manual,2.0,2011,174030.0,12
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2018,367973.0,5
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2017,343029.0,6
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2016,292362.0,7
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2014,201710.0,9
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2013,191655.0,10
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2012,184991.0,11
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,Gasoline,manual,2.0,2011,177894.0,12
Audi,S6 5.2 FSI V10 435cv Quattro Tiptronic,Gasoline,manual,5.2,2011,206740.0,12
Audi,S6 5.2 Avant FSI V10 435cv Quattro Tiptr,Gasoline,manual,5.2,2011,208005.0,12
Audi,A5 Sportback 2.0 16V TFSI 211cv Multi.,Gasoline,manual,2.0,2011,74596.0,12
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2023,1684762.0,0
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2022,1602225.0,1
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2021,1550030.0,2
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2018,1263438.0,5
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2017,1096653.0,6
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2015,897500.0,8
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2014,754575.0,9
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2012,625204.0,11
Audi,R8 5.2 V10 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2011,548791.0,12
Audi,R8 4.2 V8 426cv Quattro R-tronic,Gasoline,manual,4.2,2012,520975.0,11
Audi,R8 4.2 V8 426cv Quattro R-tronic,Gasoline,manual,4.2,2011,441584.0,12
Audi,RS6 5.0 FSI V10 Bi-TB Quattro Tip.,Gasoline,manual,5.0,2011,350585.0,12
Audi,RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,Gasoline,manual,5.0,2011,388191.0,12
Audi,A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p,Gasoline,manual,3.0,2012,134089.0,11
Audi,A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p,Gasoline,manual,3.0,2011,129899.0,12
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Gasoline,manual,4.2,2015,330851.0,8
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Gasoline,manual,4.2,2014,311867.0,9
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Gasoline,manual,4.2,2013,284500.0,10
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Gasoline,manual,4.2,2012,214093.0,11
Audi,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Gasoline,manual,4.2,2011,172734.0,12
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2023,554512.0,0
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2022,534366.0,1
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2021,516985.0,2
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2019,407227.0,4
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2018,363154.0,5
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2017,351807.0,6
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2016,278503.0,7
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2015,203716.0,8
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2014,180586.0,9
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2013,140349.0,10
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2012,103442.0,11
Audi,Q7 3.0 V6 TFSI Quat.Tip.5p/ Performance,Gasoline,manual,3.0,2011,92250.0,12
Audi,A1 1.4 TFSI 122cv S-tronic 3p,Gasoline,manual,1.4,2014,74230.0,9
Audi,A1 1.4 TFSI 122cv S-tronic 3p,Gasoline,manual,1.4,2013,68558.0,10
Audi,A1 1.4 TFSI 122cv S-tronic 3p,Gasoline,manual,1.4,2012,60528.0,11
Audi,A1 1.4 TFSI 122cv S-tronic 3p,Gasoline,manual,1.4,2011,58045.0,12
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2018,299984.0,5
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2017,288737.0,6
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2016,241581.0,7
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2015,209863.0,8
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2014,172626.0,9
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2013,167232.0,10
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2012,144303.0,11
Audi,A7 Sportback 3.0 TFSI Quattro S Tronic,Gasoline,manual,3.0,2011,137148.0,12
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2016,944878.0,7
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2015,920326.0,8
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2014,823452.0,9
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2013,687307.0,10
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2012,665830.0,11
Audi,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Gasoline,manual,5.2,2011,581990.0,12
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2017,774891.0,6
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2016,639579.0,7
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2015,528884.0,8
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2014,470267.0,9
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2013,455572.0,10
Audi,A8 6.3 W12 48V Quattro Tiptronic,Gasoline,manual,6.3,2012,443309.0,11
Audi,RS3 Sportback 2.5 TFSI Quattro S-tronic,Gasoline,manual,2.5,2018,411199.0,5
Audi,RS3 Sportback 2.5 TFSI Quattro S-tronic,Gasoline,manual,2.5,2016,290543.0,7
Audi,RS3 Sportback 2.5 TFSI Quattro S-tronic,Gasoline,manual,2.5,2013,182505.0,10
Audi,RS3 Sportback 2.5 TFSI Quattro S-tronic,Gasoline,manual,2.5,2012,176802.0,11
Audi,R8 GT 5.2 V10 560cv Quattro R-tronic,Gasoline,manual,5.2,2012,622673.0,11
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2018,176858.0,5
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2017,139055.0,6
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2016,122584.0,7
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2015,105479.0,8
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2014,98616.0,9
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Gasoline,manual,2.0,2013,93791.0,10
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2018,178195.0,5
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2017,143857.0,6
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2016,125416.0,7
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2015,109112.0,8
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2014,101393.0,9
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Gasoline,manual,2.0,2013,96832.0,10
Audi,A5 Sportback 2.0 16V TFSI 180cv Multi.,Gasoline,manual,2.0,2014,99364.0,9
Audi,A5 Sportback 2.0 16V TFSI 180cv Multi.,Gasoline,manual,2.0,2013,96259.0,10
Audi,A5 Sportback 2.0 16V TFSI 180cv Multi.,Gasoline,manual,2.0,2012,89453.0,11
Audi,S4 3.0 TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2014,185534.0,9
Audi,S4 3.0 TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2013,179350.0,10
Audi,S4 3.0 TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2012,166474.0,11
Audi,S4 3.0 TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2011,161372.0,12
Audi,S4 3.0 Avant TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2014,224209.0,9
Audi,S4 3.0 Avant TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2013,189648.0,10
Audi,S4 3.0 Avant TFSI V6 24V Quattro Stronic,Gasoline,manual,3.0,2012,179577.0,11
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2016,153748.0,7
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2015,128578.0,8
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2014,115321.0,9
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2013,111717.0,10
Audi,A5 Coupê 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2012,104523.0,11
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2016,230375.0,7
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2015,189650.0,8
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2014,180326.0,9
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2013,174691.0,10
Audi,A5 Cabriolet 2.0 TFSI Quattro Stronic,Gasoline,manual,2.0,2012,131661.0,11
Audi,S5 Sportback 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2015,240215.0,8
Audi,S5 Sportback 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2014,233997.0,9
Audi,S5 Sportback 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2013,224515.0,10
Audi,S5 Sportback 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2012,179729.0,11
Audi,S5 Coupê 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2013,240297.0,10
Audi,S5 Coupê 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2012,231508.0,11
Audi,S5 Cabriolet 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2013,256026.0,10
Audi,S5 Cabriolet 3.0 TFSI Quattro Stronic,Gasoline,manual,3.0,2012,225144.0,11
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Gasoline,manual,2.0,2016,136873.0,7
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Gasoline,manual,2.0,2015,109492.0,8
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Gasoline,manual,2.0,2014,104415.0,9
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Gasoline,manual,2.0,2013,91627.0,10
Audi,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Gasoline,manual,2.0,2012,86057.0,11
Audi,A4 2.0 16V TFSI Quattro Stronic,Gasoline,manual,2.0,2014,82967.0,9
Audi,A4 2.0 16V TFSI Quattro Stronic,Gasoline,manual,2.0,2013,75242.0,10
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,Gasoline,manual,2.0,2014,107390.0,9
Audi,A4 2.0 Avant 16V TFSI Quattro Stronic,Gasoline,manual,2.0,2013,103530.0,10
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,Gasoline,manual,1.4,2014,77885.0,9
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,Gasoline,manual,1.4,2013,75451.0,10
Audi,A1 Sport 1.4 TFSI 185cv 3p S-tronic,Gasoline,manual,1.4,2012,62200.0,11
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2018,104920.0,5
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2017,101641.0,6
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2016,83986.0,7
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2015,80765.0,8
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2014,76038.0,9
Audi,A1 Sportback 1.4 TFSI 5p S-tronic,Gasoline,manual,1.4,2013,70287.0,10
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,Gasoline,manual,1.4,2015,91350.0,8
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,Gasoline,manual,1.4,2014,79718.0,9
Audi,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,Gasoline,manual,1.4,2013,77227.0,10
Audi,TTRS Roadster 2.5 TB FSI Quat. S Tronic,Gasoline,manual,2.5,2014,295395.0,9
Audi,TTRS Roadster 2.5 TB FSI Quat. S Tronic,Gasoline,manual,2.5,2013,266835.0,10
